x1,y1,r1,x2,y2,r2,x3,y3,r3,x4,y4,r4,x5,y5,r5,x6,y6,r6,x7,y7,r7,class
241.0,190.5,20.0,241.0,197.5,20.0,223.333,171.604,25.0,212.5,162.5,27.0,200.0,165.0,31.0,182.034,186.966,41.0,164.5,265.5,63.0,3
227.0,204.5,19.0,221.5,185.5,25.0,213.807,169.491,25.0,203.523,162.038,28.0,189.08,169.92,35.0,171.294,221.712,52.0,151.5,314.0,77.0,3
234.0,188.0,21.0,233.0,201.0,18.0,206.5,170.0,24.0,191.0,146.5,25.0,164.0,124.5,28.0,122.899,108.879,33.0,62.5,106.0,26.0,1
244.5,186.0,20.0,244.0,195.5,20.0,221.0,164.5,25.0,203.0,133.5,25.0,179.0,101.5,27.0,141.5,68.5,29.0,87.5,40.5,21.0,1
235.0,205.5,20.0,228.0,201.5,19.0,219.0,175.0,27.0,203.0,151.5,27.0,180.099,133.658,28.0,150.335,123.304,33.0,98.0,128.0,43.0,1
267.0,172.0,23.0,260.0,184.0,18.0,240.5,163.5,29.0,253.5,134.0,30.0,276.5,107.0,34.0,312.0,87.0,45.0,375.5,77.0,59.0,2
228.903,85.805,25.0,225.767,50.662,28.0,222.399,16.179,32.0,222.0,6.5,29.0,224.0,7.0,31.0,350.775,314.975,331.0,331.327,391.312,73.0,5
248.5,189.0,26.0,244.794,164.5,26.0,237.395,145.705,27.0,228.956,134.767,30.0,216.886,133.989,36.0,196.544,159.714,50.0,163.0,284.5,112.0,3
252.524,170.145,26.0,250.934,147.551,27.0,250.5,131.5,30.0,252.322,127.643,35.0,263.669,144.5,48.0,296.134,239.201,112.0,329.83,392.383,107.0,4
242.5,227.0,19.0,233.5,207.0,26.0,231.727,199.273,26.0,235.0,204.0,31.0,246.0,238.0,51.0,261.482,321.923,85.0,285.0,440.5,28.0,4
251.0,231.5,18.0,238.0,211.5,29.0,225.0,177.0,29.0,208.0,146.0,26.0,183.0,114.0,25.0,151.0,75.5,30.0,97.5,43.5,36.0,1
243.5,213.0,22.0,243.0,216.5,20.0,224.541,186.541,26.0,216.217,180.226,27.0,207.5,184.5,32.0,193.0,213.5,45.0,160.0,311.0,84.0,3
248.5,218.5,19.0,234.0,195.5,29.0,229.0,172.0,26.0,226.179,160.212,29.0,222.0,161.459,34.0,220.538,191.622,50.0,228.0,315.5,116.0,3
238.0,202.0,19.0,228.239,178.82,25.0,231.5,167.716,27.0,237.714,168.286,33.0,255.5,186.0,47.0,282.529,246.872,75.0,328.0,376.0,112.0,4
237.5,216.5,28.0,226.5,184.0,28.0,212.013,161.013,26.0,195.0,140.0,30.0,170.906,124.354,35.0,128.0,130.5,43.0,60.0,161.0,32.0,1
251.0,206.5,18.0,244.0,178.5,25.0,256.5,152.5,30.0,278.0,127.5,32.0,307.0,102.0,39.0,359.0,89.0,48.0,432.0,93.5,55.0,2
228.5,190.5,26.0,222.0,172.0,26.0,215.983,161.662,28.0,209.5,160.0,31.0,195.233,175.701,42.0,184.5,263.0,80.0,167.945,360.355,54.0,3
248.0,216.0,19.0,225.874,170.733,27.0,218.0,143.0,27.0,207.0,120.5,30.0,188.732,108.463,37.0,164.694,110.865,49.0,111.0,154.5,69.0,1
235.5,191.5,20.0,235.5,174.0,26.0,242.5,160.5,27.0,251.0,155.0,31.0,266.236,167.236,42.0,293.0,218.5,71.0,326.5,355.0,125.0,4
254.0,213.5,19.0,247.5,183.0,26.0,241.422,160.177,29.0,234.889,139.0,32.0,224.088,128.088,40.0,206.284,137.43,56.0,176.345,271.389,156.0,5
246.0,198.0,21.0,238.0,173.0,27.0,229.0,155.0,27.0,217.772,144.525,30.0,204.001,142.428,36.0,171.0,165.5,54.0,139.5,258.0,58.0,3
258.0,215.0,18.0,237.0,155.0,27.0,225.5,122.0,27.0,207.0,87.5,28.0,182.966,52.966,31.0,139.5,20.5,40.0,65.5,7.0,19.0,1
227.0,215.0,18.0,220.0,169.0,26.0,217.672,129.938,25.0,219.0,89.943,23.0,216.513,50.971,25.0,214.5,15.5,28.0,390.884,215.987,288.0,5
238.103,167.59,25.0,242.18,151.82,26.0,248.339,144.891,29.0,259.0,153.0,38.0,271.0,191.5,56.0,330.0,296.5,111.0,356.0,434.854,54.0,4
268.975,179.287,28.0,272.25,149.5,28.0,271.198,121.47,31.0,276.059,101.147,35.0,283.0,94.0,44.0,293.509,126.187,74.0,338.0,286.0,199.0,5
250.0,198.0,21.0,239.0,189.5,26.0,229.0,156.0,29.0,214.5,127.0,29.0,193.524,100.642,33.0,160.855,78.657,40.0,100.341,61.826,50.0,1
240.0,192.5,20.0,238.0,161.5,27.0,245.5,134.5,29.0,259.0,113.5,34.0,282.092,93.427,44.0,334.5,90.0,68.0,416.5,136.5,83.0,2
235.0,191.5,25.0,226.486,173.486,26.0,215.5,159.0,26.0,201.736,151.955,29.0,184.5,158.0,35.0,153.0,192.5,51.0,86.5,363.5,30.0,3
216.0,175.5,18.0,206.5,149.5,25.0,193.843,118.166,26.0,175.274,88.249,28.0,150.003,62.008,36.0,107.174,43.889,48.0,28.5,26.5,23.0,1
223.0,189.0,25.0,217.0,170.0,25.0,211.459,156.104,27.0,205.668,152.022,30.0,197.0,164.0,38.0,185.743,230.091,75.0,169.023,330.213,72.0,3
225.5,190.5,19.0,211.129,178.0,24.0,215.077,170.008,28.0,223.773,170.918,34.0,242.223,192.223,48.0,269.356,271.593,89.0,311.5,402.0,86.0,4
250.0,199.0,18.0,243.0,168.5,28.0,234.844,135.5,28.0,224.304,103.823,29.0,210.257,71.597,34.0,183.669,43.971,42.0,134.713,26.943,54.0,1
227.0,186.5,26.0,223.959,155.303,28.0,222.0,129.0,29.0,220.956,106.366,35.0,226.793,95.0,45.0,236.0,119.0,74.0,311.74,280.352,218.0,5
230.0,199.0,18.0,229.0,171.5,27.0,239.913,150.484,29.0,255.31,133.289,34.0,287.0,127.284,45.0,355.5,147.5,79.0,504.0,265.0,166.0,2
225.5,179.5,25.0,225.667,148.112,27.0,231.5,121.5,30.0,242.045,100.555,35.0,264.499,89.876,44.0,313.5,108.0,75.0,470.5,242.0,203.0,2
233.5,190.094,21.0,224.5,196.0,20.0,211.0,169.0,26.0,196.24,149.24,25.0,177.5,133.5,29.0,145.5,127.585,35.0,90.5,139.0,45.0,1
227.554,210.0,20.0,220.0,179.0,27.0,208.947,150.053,26.0,195.0,122.739,30.0,175.891,98.322,36.0,143.152,85.771,46.0,85.105,95.244,60.0,1
235.0,211.5,20.0,227.765,172.134,26.0,232.218,159.786,28.0,243.182,159.678,34.0,266.0,180.0,53.0,320.5,262.0,110.0,349.0,391.5,92.0,4
234.0,193.0,19.0,228.0,164.0,25.0,228.5,144.429,27.0,232.0,135.0,31.0,236.5,140.5,37.0,263.5,192.0,75.0,307.0,334.5,151.0,4
228.5,165.0,25.0,220.5,139.0,27.0,203.0,115.0,26.0,184.612,96.062,30.0,159.451,88.324,37.0,117.299,97.231,48.0,6.5,244.0,16.0,1
222.0,179.0,20.0,225.0,156.5,28.0,237.0,133.0,29.0,257.279,116.166,35.0,301.868,112.337,49.0,385.754,144.377,88.0,571.791,271.5,82.0,2
239.246,186.754,20.0,238.5,193.0,19.0,214.5,168.5,23.0,201.24,143.24,27.0,183.741,116.741,27.0,154.0,94.0,33.0,109.943,69.597,40.0,1
241.0,200.0,20.0,233.0,183.25,25.0,236.632,166.5,27.0,244.286,159.255,31.0,256.62,160.895,38.0,278.135,202.607,63.0,330.096,321.195,132.0,4
232.0,163.0,28.0,232.0,130.141,28.0,235.0,99.5,32.0,242.897,70.141,38.0,264.324,53.167,53.0,323.509,52.152,92.0,494.986,233.263,192.0,5
248.0,174.5,25.0,248.855,149.714,29.0,253.242,121.758,32.0,269.5,104.0,40.0,297.963,98.0,52.0,388.5,185.0,145.0,570.531,288.5,94.0,2
244.5,185.5,19.0,241.5,188.5,21.0,217.5,168.5,26.0,202.785,142.166,26.0,185.822,111.822,30.0,158.875,87.695,36.0,113.11,79.158,48.0,1
262.5,171.5,26.0,259.694,151.109,27.0,258.525,140.295,29.0,260.625,139.5,34.0,270.258,161.704,50.0,272.283,270.168,110.0,303.0,416.5,81.0,4
248.5,192.0,23.0,242.254,173.707,26.0,236.174,157.291,27.0,229.0,150.0,30.0,217.332,156.668,37.0,198.285,193.737,56.0,171.0,309.5,86.0,3
260.0,179.0,22.0,265.127,161.582,28.0,282.19,144.81,30.0,306.301,141.141,36.0,348.5,148.5,52.0,416.011,217.011,93.0,554.0,308.0,93.0,2
272.5,201.0,18.0,256.0,169.0,23.0,246.5,143.0,27.0,230.71,115.853,27.0,208.236,94.236,30.0,178.122,78.389,35.0,125.044,78.785,45.0,1
271.0,204.0,19.0,265.0,173.0,23.0,268.5,143.0,30.0,278.5,108.5,32.0,292.5,75.5,35.0,322.434,45.058,42.0,374.331,25.163,52.0,2
273.5,204.5,19.0,261.0,184.5,26.0,253.39,168.578,26.0,245.121,161.328,29.0,233.939,162.828,35.0,219.0,196.0,51.0,185.07,301.479,94.0,3
273.0,176.0,25.0,275.5,155.5,29.0,282.242,136.758,31.0,296.531,132.984,36.0,317.481,147.649,51.0,366.5,251.5,128.0,423.0,365.0,88.0,4
